id_komentar,author_name,updated_at,text,text_clean
Ugy00XlUys99QMP3fEx4AaABAg,@adrianjaya,2025-05-17 14:10:22+00:00,Saya udah filing sih dari awal nongol waktu kasus pegi udah curiga KDM hanya kepentingan politik doang😂,filing sih nongol pegi curiga kdm kepentingan politik doang
UgwSs5Opfpw4NLGS_gB4AaABAg,@emynaardha2094,2025-05-17 14:08:38+00:00,Tetap dijalur AHY atau Bang Anis atau Pak Prabowo...yg lain skip,dijalur ahy bang anis prabowo skip
UgzYn_p4gZOR6KKroAJ4AaABAg,@AdeTiaGustiana,2025-05-17 14:08:18+00:00,"Cari kerjalah yang layak!,parah ni para digital marketing,ngomongin orang lagi kerja sampe kerumah-rumah dibahas",cari kerjalah layak parah digital marketing mengomongkan orang kerja kerumah rumah dibahas
Ugx1lydevw2Lydei6pR4AaABAg,@hadiprasetyo6311,2025-05-17 14:07:57+00:00,"Sy bukan warga jabar n biasa sj menanggapi gubernur KDM. Saran sj ke redaksi klo mau kritik boleh saja tapi kritik yg membangun n tdk menjatuhkan, itu akan terdengar lebih bijak.
Smg bocor alus makin byk yg subscribe !!!",warga jabar n menanggapi gubernur kdm saran redaksi kalo kritik kritik membangun n menjatuhkan terdengar bijak semoga bocor alus subscribe
UgzfQFaivWS4ovN7Dhd4AaABAg,@Fatim_Albatul,2025-05-17 14:07:22+00:00,"Yaah, namanya manusia,.tdk ada yg sempurna, termasuk KDM jg,.pasti sekalipun dia melakukan yg terbaik psti selalu ada salahnya sbg manusia,.dan pasti tdk akan bs menyenangkan semua pihak,. Tapi setidaknya, saat ini dia berusaha mjd pemimpin yg nyaah ka rahayat,. Kami sbg warga jabar hanya bs mndoakan beliau Istiqomah, meluruskan niat dan Allah jaga agar mjd pemimpin yg sejati,. Aamiin",ya namanya manusia sempurna kdm terbaik salahnya manusia menyenangkan berusaha mjd pemimpin nyaah kak rahayat warga jabar mndoakan beliau istikamah meluruskan niat allah jaga mjd pemimpin sejati amin
UgyZG7VQsesTN8O3Pmp4AaABAg,@rois-b3t,2025-05-17 14:07:01+00:00,susah kalo jd orang baik kaya paku kalo masih lurus terus d palu kalo udah bengkok baru berhenti karna itulah yg di inginkan ter masuk yg jd narasumber ini,susah kalo orang kayak paku kalo lurus palu kalo bengkok berhenti ter masuk narasumber
UgxVXNmYEFFjOiYe85N4AaABAg,@zaenalarifin1789,2025-05-17 14:06:34+00:00,"para elit politik nasional mulai ke gerahan....,mulai memainkan narasi melemahkan kdm dengan memainkan bazer2nya di antaranya cennel ini...,warga jabar geus palinter euy...,moal kapangaruhan ku narasi pesanan,bagi aing kdm is the best * konten bapa aing bukti keterbukaan kinerjanya...",elit politik nasional gerahan memainkan narasi melemahkan kdm memainkan bazer nya cennel warga jabar geus palinter euy moal kapangaruhan ku narasi pesanan aing kdm is the best konten bapa aing bukti keterbukaan kinerjanya
UgwZo35WBk5VgnKmvql4AaABAg,@GaganYati,2025-05-17 14:06:27+00:00,TEMPO UDAH GAK LAKU,tempo laku
UgwqqbfIl8vpCKki0LV4AaABAg,@mdl508,2025-05-17 14:05:55+00:00,Si paling A1 yang gak tau siapa yg kirim kepala babi ke kantor 😂😂 bocor alus udah jadi tambel alus?? Wkwkwkwk,sih a tau kirim kepala babi kantor bocor alus tambel alus wkwkwkwk
UgyvbgJBw_WiutrtINR4AaABAg,@ansamoiri7363,2025-05-17 14:07:35+00:00,"Jgn sampai Fanatisme menghilangkan sikap kritis rasional, jgn sampai fanatik sprt pendukung Mulyono seolah Jokowi itu sprt dewa tanpa kesalahan",fanatisme menghilangkan sikap kritis rasional fanatik pendukung mulyono jokowi dewa kesalahan
UgygFNgNMO8kZA6R8tp4AaABAg,@FootballNewsSei,2025-05-17 14:05:20+00:00,Media antek asing,media antek asing
UgyWPUqB0jX2mnPFFch4AaABAg,@megastore2614,2025-05-17 14:05:18+00:00,Populisnya KDM dengan JOKOWI berbeda bang....,populisnya kdm jokowi berbeda bang
Ugwp8JAbJe8zG9E2ddp4AaABAg,@SeptianiWijaya-k5t,2025-05-17 14:05:15+00:00,Love kdm ❤❤❤ri 1,love kdm ri
UgwXEjx7wofxDUxowdJ4AaABAg,@sagalaaya924,2025-05-17 14:04:54+00:00,Gak seru diskusinya menyudutkan/menjatuhkan orang lain... diskusinya yg gak patut di contoh....,seru diskusinya menyudutkan menjatuhkan orang diskusinya patut contoh
UgzDUmBwYL6mwedPPcZ4AaABAg,@maulanamuhammad496,2025-05-17 14:04:47+00:00,"Ga bahas pak jokowi gak bakal rame,lagu lama tempo wkwkwk",bahas jokowi rame lagu tempo wkwkwk
